dt_iso,wind_speed_1,wind_speed_2,wind_speed_3,snow_1h_1,snow_1h_2,snow_1h_3,temp_1,temp_2,temp_3,temp
1979-01-04,8.35,4.179166666666666,7.1291666666666655,3.7699999999999996,3.56,0.0,263.20750000000004,273.90749999999997,276.99541666666664,262.00791666666663
1979-01-05,6.737499999999998,8.35,4.179166666666666,0.0,3.7699999999999996,3.56,262.00791666666663,263.20750000000004,273.90749999999997,261.5
1979-01-06,7.795833333333331,6.737499999999998,8.35,0.0,0.0,3.7699999999999996,261.5,262.00791666666663,263.20750000000004,263.28875000000005
1979-01-07,3.8791666666666664,7.795833333333331,6.737499999999998,0.0,0.0,0.0,263.28875000000005,261.5,262.00791666666663,266.8354166666666
1979-01-08,3.495833333333333,3.8791666666666664,7.795833333333331,1.29,0.0,0.0,266.8354166666666,263.28875000000005,261.5,267.33625
1979-01-09,4.304166666666666,3.495833333333333,3.8791666666666664,4.870000000000001,1.29,0.0,267.33625,266.8354166666666,263.28875000000005,263.9245833333333
1979-01-10,5.4816666666666665,4.304166666666666,3.495833333333333,0.13,4.870000000000001,1.29,263.9245833333333,267.33625,266.8354166666666,261.3870833333334
1979-01-11,5.973749999999996,5.4816666666666665,4.304166666666666,0.0,0.13,4.870000000000001,261.3870833333334,263.9245833333333,267.33625,253.0966666666667
1979-01-12,4.995833333333332,5.973749999999996,5.4816666666666665,0.0,0.0,0.13,253.0966666666667,261.3870833333334,263.9245833333333,251.99458333333334
1979-01-13,2.7033333333333336,4.995833333333332,5.973749999999996,0.0,0.0,0.0,251.99458333333334,253.0966666666667,261.3870833333334,258.4329166666667
1979-01-14,5.3,2.7033333333333336,4.995833333333332,2.7699999999999996,0.0,0.0,258.4329166666667,251.99458333333334,253.0966666666667,271.2008333333334
1979-01-15,6.229166666666667,5.3,2.7033333333333336,3.54,2.7699999999999996,0.0,271.2008333333334,258.4329166666667,251.99458333333334,259.4941666666667
1979-01-16,10.266666666666664,6.229166666666667,5.3,0.0,3.54,2.7699999999999996,259.4941666666667,271.2008333333334,258.4329166666667,260.46166666666664
1979-01-17,5.287499999999998,10.266666666666664,6.229166666666667,0.1,0.0,3.54,260.46166666666664,259.4941666666667,271.2008333333334,252.48083333333332
1979-01-18,4.265000000000001,5.287499999999998,10.266666666666664,3.3400000000000003,0.1,0.0,252.48083333333332,260.46166666666664,259.4941666666667,255.87499999999997
1979-01-19,6.324999999999999,4.265000000000001,5.287499999999998,5.010000000000002,3.3400000000000003,0.1,255.87499999999997,252.48083333333332,260.46166666666664,251.67
1979-01-20,3.2695833333333333,6.324999999999999,4.265000000000001,0.0,5.010000000000002,3.3400000000000003,251.67,255.87499999999997,252.48083333333332,254.73541666666662
1979-01-21,3.579166666666666,3.2695833333333333,6.324999999999999,0.0,0.0,5.010000000000002,254.73541666666662,251.67,255.87499999999997,265.7620833333334
1979-01-22,7.649999999999998,3.579166666666666,3.2695833333333333,9.209999999999999,0.0,0.0,265.7620833333334,254.73541666666662,251.67,267.92083333333335
1979-01-23,7.608333333333332,7.649999999999998,3.579166666666666,3.1100000000000003,9.209999999999999,0.0,267.92083333333335,265.7620833333334,254.73541666666662,265.4558333333333
1979-01-24,5.0041666666666655,7.608333333333332,7.649999999999998,0.0,3.1100000000000003,9.209999999999999,265.4558333333333,267.92083333333335,265.7620833333334,263.3162500000001
1979-01-25,5.8304166666666655,5.0041666666666655,7.608333333333332,0.0,0.0,3.1100000000000003,263.3162500000001,265.4558333333333,267.92083333333335,272.1579166666667
1979-01-26,12.65,5.8304166666666655,5.0041666666666655,1.56,0.0,0.0,272.1579166666667,263.3162500000001,265.4558333333333,275.4820833333334
1979-01-27,7.99583333333333,12.65,5.8304166666666655,0.0,1.56,0.0,275.4820833333334,272.1579166666667,263.3162500000001,275.2708333333334
1979-01-28,3.2833333333333337,7.99583333333333,12.65,0.0,0.0,1.56,275.2708333333334,275.4820833333334,272.1579166666667,275.25958333333335
1979-01-29,1.9625000000000001,3.2833333333333337,7.99583333333333,0.0,0.0,0.0,275.25958333333335,275.2708333333334,275.4820833333334,274.55458333333326
1979-01-30,5.101249999999999,1.9625000000000001,3.2833333333333337,0.0,0.0,0.0,274.55458333333326,275.25958333333335,275.2708333333334,268.94916666666666
1979-01-31,9.058333333333328,5.101249999999999,1.9625000000000001,0.0,0.0,0.0,268.94916666666666,274.55458333333326,275.25958333333335,265.9941666666666
1979-02-01,5.779166666666664,9.058333333333328,5.101249999999999,10.299999999999999,0.0,0.0,265.9941666666666,268.94916666666666,274.55458333333326,263.61083333333323
1979-02-02,5.320833333333334,5.779166666666664,9.058333333333328,7.1000000000000005,10.299999999999999,0.0,263.61083333333323,265.9941666666666,268.94916666666666,261.90208333333345
1979-02-03,6.170833333333332,5.320833333333334,5.779166666666664,1.47,7.1000000000000005,10.299999999999999,261.90208333333345,263.61083333333323,265.9941666666666,259.89124999999996
1979-02-04,5.058333333333332,6.170833333333332,5.320833333333334,0.0,1.47,7.1000000000000005,259.89124999999996,261.90208333333345,263.61083333333323,257.43833333333333
1979-02-05,1.8087499999999999,5.058333333333332,6.170833333333332,0.13,0.0,1.47,257.43833333333333,259.89124999999996,261.90208333333345,261.0808333333334
1979-02-06,5.641666666666667,1.8087499999999999,5.058333333333332,1.4,0.13,0.0,261.0808333333334,257.43833333333333,259.89124999999996,255.6158333333333
1979-02-07,9.08333333333333,5.641666666666667,1.8087499999999999,0.0,1.4,0.13,255.6158333333333,261.0808333333334,257.43833333333333,254.69875000000002
